X_val,Y_val
0.0107783,3.60E+06
0.0108883,3.60E+06
0.0109982,3.60E+06
0.0111082,3.59E+06
0.0112182,3.59E+06
0.0113282,3.59E+06
0.0114382,3.58E+06
0.0115482,3.58E+06
0.0116581,3.58E+06
0.0117681,3.57E+06
0.0118781,3.57E+06
0.0119881,3.57E+06
0.0120981,3.56E+06
0.0122081,3.56E+06
0.012318,3.56E+06
0.012428,3.55E+06
0.012538,3.55E+06
0.012648,3.55E+06
0.012758,3.54E+06
0.012868,3.54E+06
0.0129779,3.54E+06
0.0130879,3.53E+06
0.0131979,3.53E+06
0.0133079,3.53E+06
0.0134179,3.52E+06
0.0135278,3.52E+06
0.0136378,3.52E+06
0.0137478,3.52E+06
0.0138578,3.51E+06
0.0139678,3.51E+06
0.0140778,3.51E+06
0.0141877,3.51E+06
0.0142977,3.50E+06
0.0144077,3.50E+06
0.0145177,3.49E+06
0.0146277,3.49E+06
0.0147377,3.49E+06
0.0148476,3.49E+06
0.0149576,3.48E+06
0.0150676,3.48E+06
0.0151776,3.48E+06
0.0152876,3.48E+06
0.0153975,3.47E+06
0.0155075,3.47E+06
0.0156175,3.47E+06
0.0157275,3.47E+06
0.0158375,3.46E+06
0.0159475,3.46E+06
0.0160574,3.46E+06
0.0161674,3.46E+06
0.0162774,3.45E+06
0.0163874,3.45E+06
0.0164974,3.45E+06
0.0166074,3.45E+06
0.0167173,3.44E+06
0.0168273,3.44E+06
0.0169373,3.44E+06
0.0170473,3.44E+06
0.0171573,3.43E+06
0.0172673,3.43E+06
0.0173772,3.43E+06
0.0174872,3.43E+06
0.0175972,3.42E+06
0.0177072,3.42E+06
0.0178172,3.42E+06
0.0179271,3.42E+06
0.0180371,3.41E+06
0.0181471,3.41E+06
0.0182571,3.41E+06
0.0183671,3.41E+06
0.0184771,3.40E+06
0.018587,3.41E+06
0.018697,3.40E+06
0.018807,3.40E+06
0.018917,3.39E+06
0.019027,3.40E+06
0.019137,3.39E+06
0.0192469,3.39E+06
0.0193569,3.38E+06
0.0194669,3.39E+06
0.0195769,3.38E+06
0.0196869,3.39E+06
0.0197969,3.38E+06
0.0199068,3.38E+06
0.0200168,3.37E+06
0.0201268,3.38E+06
0.0202368,3.37E+06
0.0203468,3.37E+06
0.0204567,3.36E+06
0.0205667,3.37E+06
0.0206767,3.36E+06
0.0207867,3.36E+06
0.0208967,3.35E+06
0.0210067,3.36E+06
0.0211166,3.35E+06
0.0212266,3.35E+06
0.0213366,3.34E+06
0.0214466,3.35E+06
0.0215566,3.34E+06
0.0216666,3.35E+06
0.0217765,3.34E+06
0.0218865,3.34E+06
0.0219965,3.34E+06
0.0221065,3.33E+06
0.0222165,3.34E+06
0.0223264,3.33E+06
0.0224364,3.33E+06
0.0225464,3.32E+06
0.0226564,3.33E+06
0.0227664,3.32E+06
0.0228764,3.33E+06
0.0229863,3.32E+06
0.0230963,3.32E+06
0.0232063,3.31E+06
0.0233163,3.32E+06
0.0234263,3.31E+06
0.0235363,3.32E+06
0.0236462,3.31E+06
0.0237562,3.31E+06
0.0238662,3.31E+06
0.0239762,3.31E+06
0.0240862,3.30E+06
0.0241961,3.31E+06
0.0243061,3.30E+06
0.0244161,3.30E+06
0.0245261,3.30E+06
0.0246361,3.30E+06
0.0247461,3.29E+06
0.024856,3.30E+06
0.024966,3.29E+06
0.025076,3.29E+06
0.025186,3.29E+06
0.025296,3.29E+06
0.025406,3.28E+06
0.0255159,3.29E+06
0.0256259,3.28E+06
0.0257359,3.29E+06
0.0258459,3.28E+06
0.0259559,3.29E+06
0.0260659,3.29E+06
0.0261758,3.22E+06
0.0262858,3.00E+06
0.0263958,2.65E+06
0.0265058,2.45E+06
0.0266158,2.48E+06
0.0267257,2.57E+06
0.0268357,2.58E+06
0.0269457,2.55E+06
0.0270557,2.51E+06
0.0271657,2.48E+06
0.0272757,2.44E+06
0.0273856,2.40E+06
0.0274956,2.36E+06
0.0276056,2.33E+06
0.0277156,2.28E+06
0.0278256,2.24E+06
0.0279356,2.18E+06
0.0280455,2.13E+06
0.0281555,2.08E+06
0.0282655,2.04E+06
0.0283755,2.00E+06
0.0284855,1.97E+06
0.0285954,1.95E+06
0.0287054,1.93E+06
0.0288154,1.92E+06
0.0289254,1.92E+06
0.0290354,1.93E+06
0.0291454,1.95E+06
0.0292553,1.97E+06
0.0293653,2.00E+06
0.0294753,2.03E+06
0.0295853,2.06E+06
0.0296953,2.10E+06
0.0298053,2.13E+06
0.0299152,2.17E+06
0.0300252,2.21E+06
0.0301352,2.24E+06
0.0302452,2.27E+06
0.0303552,2.30E+06
0.0304652,2.33E+06
0.0305751,2.35E+06
0.0306851,2.37E+06
0.0307951,2.38E+06
0.0309051,2.39E+06
0.0310151,2.40E+06
0.031125,2.41E+06
0.031235,2.43E+06
0.031345,2.46E+06
0.031455,2.51E+06
0.031565,2.57E+06
0.031675,2.65E+06
0.0317849,2.73E+06
0.0318949,2.82E+06
0.0320049,2.91E+06
0.0321149,3.02E+06
0.0322249,3.13E+06
0.0323349,3.24E+06
0.0324448,3.35E+06
0.0325548,3.46E+06
0.0326648,3.58E+06
0.0327748,3.69E+06
0.0328848,3.81E+06
0.0329948,3.92E+06
0.0331047,4.03E+06
0.0332147,4.13E+06
0.0333247,4.23E+06
0.0334347,4.32E+06
0.0335447,4.41E+06
0.0336546,4.49E+06
0.0337646,4.56E+06
0.0338746,4.62E+06
0.0339846,4.68E+06
0.0340946,4.73E+06
0.0342046,4.77E+06
0.0343145,4.81E+06
0.0344245,4.83E+06
0.0345345,4.85E+06
0.0346445,4.87E+06
0.0347545,4.87E+06
0.0348645,4.87E+06
0.0349744,4.87E+06
0.0350844,4.86E+06
0.0351944,4.84E+06
0.0353044,4.82E+06
0.0354144,4.80E+06
0.0355243,4.78E+06
0.0356343,4.75E+06
0.0357443,4.72E+06
0.0358543,4.68E+06
0.0359643,4.65E+06
0.0360743,4.61E+06
0.0361842,4.57E+06
0.0362942,4.53E+06
0.0364042,4.50E+06
0.0365142,4.46E+06
0.0366242,4.42E+06
0.0367342,4.38E+06
0.0368441,4.35E+06
0.0369541,4.31E+06
0.0370641,4.28E+06
0.0371741,4.25E+06
0.0372841,4.22E+06
0.0373941,4.19E+06
0.037504,4.16E+06
0.037614,4.14E+06
0.037724,4.13E+06
0.037834,4.11E+06
0.037944,4.10E+06
0.0380539,4.10E+06
0.0381639,4.11E+06
0.0382739,4.12E+06
0.0383839,4.12E+06
0.0384939,4.14E+06
0.0386039,4.16E+06
0.0387138,4.20E+06
0.0388238,4.22E+06
0.0389338,4.28E+06
0.0390438,4.32E+06
0.0391538,4.37E+06
0.0392638,4.41E+06
0.0393737,4.46E+06
0.0394837,4.50E+06
0.0395937,4.56E+06
0.0397037,4.59E+06
0.0398137,4.61E+06
0.0399236,4.64E+06
0.0400336,4.65E+06
0.0401436,4.66E+06
0.0402536,4.67E+06
0.0403636,4.67E+06
0.0404736,4.66E+06
0.0405835,4.65E+06
0.0406935,4.64E+06
0.0408035,4.62E+06
0.0409135,4.60E+06
0.0410235,4.58E+06
0.0411335,4.55E+06
0.0412434,4.53E+06
0.0413534,4.49E+06
0.0414634,4.57E+06
0.0415734,4.30E+06
0.0416834,4.06E+06
0.0417934,4.74E+06
0.0419033,6.16E+06
0.0420133,6.59E+06
0.0421233,6.32E+06
0.0422333,5.90E+06
0.0423433,5.56E+06
0.0424532,5.32E+06
0.0425632,5.16E+06
0.0426732,5.03E+06
0.0427832,4.91E+06
0.0428932,4.77E+06
0.0430032,4.61E+06
0.0431131,4.46E+06
0.0432231,4.33E+06
0.0433331,4.29E+06
0.0434431,4.44E+06
0.0435531,4.82E+06
0.0436631,5.40E+06
0.043773,5.91E+06
0.043883,5.66E+06
0.043993,2.97E+06
0.0440659,5.16E+06
0.0441388,6.40E+06
0.0442117,6.79E+06
0.0442846,6.97E+06
0.0443575,7.12E+06
0.0444304,7.28E+06
0.0445033,7.44E+06
0.0445762,7.62E+06
0.0446491,7.82E+06
0.044722,8.06E+06
0.0447949,8.33E+06
0.0448678,8.63E+06
0.0449407,8.97E+06
0.0450136,9.32E+06
0.0450865,9.69E+06
0.0451594,1.01E+07
0.0452323,1.04E+07
0.0453052,1.07E+07
0.0453781,1.10E+07
0.045451,1.13E+07
0.0455239,1.15E+07
0.0455968,1.16E+07
0.0456697,1.17E+07
0.0457426,1.18E+07
0.0458155,1.18E+07
0.0458884,1.18E+07
0.0459613,1.17E+07
0.0460342,1.16E+07
0.0461071,1.15E+07
0.04618,1.14E+07
0.0462529,1.13E+07
0.0463258,1.12E+07
0.0463987,1.10E+07
0.0464716,1.09E+07
0.0465445,1.07E+07
0.0466174,1.06E+07
0.0466903,1.04E+07
0.0467632,1.03E+07
0.0468361,1.01E+07
0.046909,9.99E+06
0.0469819,9.84E+06
0.0470548,9.70E+06
0.0471277,9.55E+06
0.0472006,9.41E+06
0.0472735,9.26E+06
0.0473464,9.12E+06
0.0474193,8.99E+06
0.0474922,8.85E+06
0.0475651,8.72E+06
0.047638,8.58E+06
0.0477109,8.45E+06
0.0477838,8.32E+06
0.0478567,8.20E+06
0.0479296,8.08E+06
0.0480025,7.96E+06
0.0480754,7.85E+06
0.0481483,7.74E+06
0.0482212,7.64E+06
0.0482941,7.54E+06
0.048367,7.44E+06
0.0484399,7.35E+06
0.0485128,7.26E+06
0.0485857,7.18E+06
0.0486586,7.10E+06
0.0487315,7.03E+06
0.0488044,6.96E+06
0.0488773,6.90E+06
0.0489502,6.84E+06
0.0490231,6.79E+06
0.049096,6.74E+06
0.0491689,6.70E+06
0.0492418,6.66E+06
0.0493147,6.62E+06
0.0493876,6.59E+06
0.0494605,6.57E+06
0.0495334,6.55E+06
0.0496063,6.53E+06
0.0496792,6.53E+06
0.0497521,6.53E+06
0.049825,6.54E+06
0.0498979,6.56E+06
0.0499708,6.58E+06
0.0500437,6.62E+06
0.0501166,6.65E+06
0.0501895,6.69E+06
0.0502624,6.73E+06
0.0503353,6.77E+06
0.0504082,6.81E+06
0.0504811,6.85E+06
0.050554,6.88E+06
0.0506269,6.92E+06
0.0506998,6.95E+06
0.0507727,6.98E+06
0.0508456,7.00E+06
0.0509185,7.03E+06
0.0509914,7.05E+06
0.0510643,7.06E+06
0.0511372,7.08E+06
0.0512101,7.09E+06
0.051283,7.11E+06
0.0513559,7.11E+06
0.0514288,7.12E+06
0.0515017,7.13E+06
0.0515746,7.13E+06
0.0516475,7.14E+06
0.0517204,7.13E+06
0.0517933,7.13E+06
0.0518662,7.12E+06
0.0519391,7.11E+06
0.052012,7.10E+06
0.0520849,7.08E+06
0.0521578,7.06E+06
0.0522307,7.04E+06
0.0523036,7.01E+06
0.0523765,6.99E+06
0.0524494,6.96E+06
0.0525223,6.92E+06
0.0525952,6.88E+06
0.0526681,6.84E+06
0.052741,6.80E+06
0.0528139,6.76E+06
0.0528868,6.71E+06
0.0529597,6.65E+06
0.0530326,6.60E+06
0.0531055,6.54E+06
0.0531784,6.48E+06
0.0532513,6.42E+06
0.0533242,6.35E+06
0.0533971,6.29E+06
0.05347,6.22E+06
0.0535429,6.15E+06
0.0536158,6.08E+06
0.0536887,6.02E+06
0.0537616,5.95E+06
0.0538345,5.88E+06
0.0539074,5.82E+06
0.0539803,5.75E+06
0.0540532,5.69E+06
0.0541261,5.63E+06
0.054199,5.58E+06
